M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
128|32|2|10|5775|145|1551286
128|32|4|10|5775|134|1551286
128|32|8|10|5775|141|1551286
128|32|16|10|5775|160|1551286
128|32|32|10|5775|145|1551286
256|2|2|10|6410|141|2575274
256|2|4|10|6410|143|2575274
256|2|8|10|6410|149|2575274
256|2|16|10|6410|162|2575274
256|2|32|10|6410|153|2575274
256|4|2|10|6571|178|2575274
256|4|4|10|6571|176|2575274
256|4|8|10|6571|208|2575274
256|4|16|10|6571|207|2575274
256|4|32|10|6571|191|2575274
256|8|2|10|6477|171|2575274
256|8|4|10|6477|156|2575274
256|8|8|10|6477|146|2575274
256|8|16|10|6477|145|2575274
256|8|32|10|6477|133|2575274
256|16|2|10|6205|189|2575274
256|16|4|10|6205|165|2575274
256|16|8|10|6205|154|2575274
256|16|16|10|6205|146|2575274
256|16|32|10|6205|161|2575274
256|32|2|10|7040|233|2575274
256|32|4|10|7040|179|2575274
256|32|8|10|7040|144|2575274
256|32|16|10|7040|143|2575274
256|32|32|10|7040|138|2575274
512|2|2|10|9311|182|4624298
512|2|4|10|9311|167|4624298
512|2|8|10|9311|196|4624298
512|2|16|10|9311|170|4624298
512|2|32|10|9311|186|4624298
512|4|2|10|8750|169|4624298
512|4|4|10|8750|152|4624298
512|4|8|10|8750|170|4624298
512|4|16|10|8750|175|4624298
512|4|32|10|8750|156|4624298
512|8|2|10|9235|185|4624298
512|8|4|10|9235|191|4624298
512|8|8|10|9235|182|4624298
512|8|16|10|9235|167|4624298
512|8|32|10|9235|168|4624298
512|16|2|10|9245|174|4624298
512|16|4|10|9245|191|4624298
512|16|8|10|9245|169|4624298
512|16|16|10|9245|159|4624298
512|16|32|10|9245|166|4624298
512|32|2|10|8510|154|4624298
512|32|4|10|8510|160|4624298
512|32|8|10|8510|136|4624298
512|32|16|10|8510|142|4624298
512|32|32|10|8510|137|4624298
2|2|2|8|3876|161|548446
2|2|4|8|3876|148|548446
2|2|8|8|3876|148|548446
2|2|16|8|3876|167|548446
2|2|32|8|3876|143|548446
2|4|2|6|3889|127|548446
2|4|4|6|3889|128|548446
2|4|8|6|3889|139|548446
2|4|16|6|3889|130|548446
2|4|32|6|3889|130|548446
2|8|2|8|3620|131|548446
2|8|4|8|3620|141|548446
2|8|8|8|3620|123|548446
2|8|16|8|3620|131|548446
2|8|32|8|3620|150|548446
2|16|2|9|3751|127|548446
2|16|4|9|3751|128|548446
2|16|8|9|3751|142|548446
2|16|16|9|3751|126|548446
2|16|32|9|3751|123|548446
2|32|2|9|3822|131|548446
2|32|4|9|3822|132|548446
2|32|8|9|3822|126|548446
2|32|16|9|3822|132|548446
2|32|32|9|3822|130|548446
4|2|2|9|3882|128|561630
4|2|4|9|3882|142|561630
4|2|8|9|3882|136|561630
4|2|16|9|3882|133|561630
4|2|32|9|3882|145|561630
4|4|2|9|3405|131|561630
4|4|4|9|3405|138|561630
4|4|8|9|3405|122|561630
4|4|16|9|3405|124|561630
4|4|32|9|3405|149|561630
4|8|2|9|3457|130|561630
4|8|4|9|3457|143|561630
4|8|8|9|3457|139|561630
4|8|16|9|3457|128|561630
4|8|32|9|3457|143|561630
4|16|2|9|3492|120|561630
4|16|4|9|3492|132|561630
4|16|8|9|3492|133|561630
4|16|16|9|3492|143|561630
4|16|32|9|3492|136|561630
4|32|2|9|3556|136|561630
4|32|4|9|3556|148|561630
4|32|8|9|3556|119|561630
4|32|16|9|3556|145|561630
4|32|32|9|3556|139|561630
8|2|2|9|2771|241|592914
8|2|4|9|2771|160|592914
8|2|8|9|2771|136|592914
8|2|16|9|2771|138|592914
8|2|32|9|2771|127|592914
8|4|2|10|2783|192|592914
8|4|4|10|2783|140|592914
8|4|8|10|2783|135|592914
8|4|16|10|2783|124|592914
8|4|32|10|2783|131|592914
8|8|2|10|2804|126|592914
8|8|4|10|2804|131|592914
8|8|8|10|2804|142|592914
8|8|16|10|2804|122|592914
8|8|32|10|2804|140|592914
8|16|2|9|2712|132|592914
8|16|4|9|2712|171|592914
8|16|8|9|2712|144|592914
8|16|16|9|2712|134|592914
8|16|32|9|2712|118|592914
8|32|2|10|2622|130|592914
8|32|4|10|2622|143|592914
8|32|8|10|2622|141|592914
8|32|16|10|2622|139|592914
8|32|32|10|2622|148|592914
16|2|2|10|2925|146|656090
16|2|4|10|2925|141|656090
16|2|8|10|2925|125|656090
16|2|16|10|2925|145|656090
16|2|32|10|2925|163|656090
16|4|2|10|2898|134|656090
16|4|4|10|2898|190|656090
16|4|8|10|2898|133|656090
16|4|16|10|2898|157|656090
16|4|32|10|2898|147|656090
16|8|2|10|2899|134|656090
16|8|4|10|2899|136|656090
16|8|8|10|2899|128|656090
16|8|16|10|2899|128|656090
16|8|32|10|2899|133|656090
16|16|2|10|3036|130|656090
16|16|4|10|3036|145|656090
16|16|8|10|3036|148|656090
16|16|16|10|3036|197|656090
16|16|32|10|3036|143|656090
16|32|2|10|2859|166|656090
16|32|4|10|2859|155|656090
16|32|8|10|2859|141|656090
16|32|16|10|2859|129|656090
16|32|32|10|2859|133|656090
32|2|2|10|4640|139|783682
32|2|4|10|4640|167|783682
32|2|8|10|4640|163|783682
32|2|16|10|4640|147|783682
32|2|32|10|4640|129|783682
32|4|2|10|4519|149|783682
32|4|4|10|4519|143|783682
32|4|8|10|4519|151|783682
32|4|16|10|4519|168|783682
32|4|32|10|4519|144|783682
32|8|2|10|5049|160|783682
32|8|4|10|5049|159|783682
32|8|8|10|5049|124|783682
32|8|16|10|5049|137|783682
32|8|32|10|5049|199|783682
32|16|2|10|4642|148|783682
32|16|4|10|4642|131|783682
32|16|8|10|4642|155|783682
32|16|16|10|4642|194|783682
32|16|32|10|4642|142|783682
32|32|2|9|6537|144|783682
32|32|4|9|6537|143|783682
32|32|8|9|6537|127|783682
32|32|16|9|6537|131|783682
32|32|32|9|6537|135|783682
64|2|2|10|4582|145|1040054
64|2|4|10|4582|146|1040054
64|2|8|10|4582|131|1040054
64|2|16|10|4582|140|1040054
64|2|32|10|4582|136|1040054
64|4|2|10|6219|136|1040054
64|4|4|10|6219|135|1040054
64|4|8|10|6219|144|1040054
64|4|16|10|6219|145|1040054
64|4|32|10|6219|126|1040054
64|8|2|10|4437|123|1040054
64|8|4|10|4437|146|1040054
64|8|8|10|4437|134|1040054
64|8|16|10|4437|147|1040054
64|8|32|10|4437|146|1040054
64|16|2|10|4741|156|1040054
64|16|4|10|4741|142|1040054
64|16|8|10|4741|142|1040054
64|16|16|10|4741|145|1040054
64|16|32|10|4741|153|1040054
64|32|2|10|4529|146|1040054
64|32|4|10|4529|148|1040054
64|32|8|10|4529|133|1040054
64|32|16|10|4529|154|1040054
64|32|32|10|4529|134|1040054
128|2|2|10|5176|167|1551286
128|2|4|10|5176|149|1551286
128|2|8|10|5176|144|1551286
128|2|16|10|5176|134|1551286
128|2|32|10|5176|134|1551286
128|4|2|10|4964|137|1551286
128|4|4|10|4964|133|1551286
128|4|8|10|4964|156|1551286
128|4|16|10|4964|133|1551286
128|4|32|10|4964|125|1551286
128|8|2|10|5143|137|1551286
128|8|4|10|5143|142|1551286
128|8|8|10|5143|130|1551286
128|8|16|10|5143|144|1551286
128|8|32|10|5143|142|1551286
128|16|2|10|4898|139|1551286
128|16|4|10|4898|137|1551286
128|16|8|10|4898|143|1551286
128|16|16|10|4898|139|1551286
128|16|32|10|4898|129|1551286
128|32|2|10|5663|165|1551286
128|32|4|10|5663|137|1551286
128|32|8|10|5663|148|1551286
128|32|16|10|5663|166|1551286
128|32|32|10|5663|160|1551286
256|2|2|10|6930|144|2575274
256|2|4|10|6930|130|2575274
256|2|8|10|6930|134|2575274
